Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,0.1uf,
"C3, C4",1206,2,C,
"C5, C6",1206,2,10uF,
"D1, D2",1206,2,LED,
IC1,SOIC127P600X175-8N,1,INA219BIDR,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,LOAD,
J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,POWER,
J4,AMPHENOL_61729-1010BLF,1,61729-1010BLF,
J5,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin,
J6,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
"R1, R11, R12, R4, R9",1206,5,22R,
"R10, R5, R6",1206,3,1k,
"R13, R14",1206,2,1.5K,
"R2, R3",1206,2,4.7k,
R7,1206,1,1MOM,
R8,2512,1,0.1R,
"SW1, SW2",SW_1825910-6-4,2,1825910-6,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,
U3,SOIC8,1,M24M02-DRMN6TP,
U4,MODULE_DM-OLED096-636,1,DM-OLED096-636,
Y1,ABL,1,ABL-16.000MHz-B4Y,
