Designator,Mid X,Mid Y,Rotation,Layer
C1,48.8,-21.0,270.0,top
C2,60.6,-22.125,90.0,top
C3,22.0,-35.525,270.0,top
C4,39.5,-36.025,270.0,top
C5,65.0,-24.025,270.0,bottom
C6,76.0,-23.5,90.0,bottom
D1,50.4,-38.5,180.0,top
D2,50.4,-41.68,180.0,top
IC1,39.5,-30.5,0.0,top
J2,22.955,-61.805,180.0,top
J3,37.035,-61.805,180.0,top
J4,70.25,-16.4725,180.0,top
J5,51.45,-62.05,0.0,top
J6,76.95,-40.945,0.0,top
R1,67.5,-29.5,90.0,top
R10,56.5,-41.5,180.0,top
R11,37.0,-36.0375,270.0,bottom
R12,42.42,-35.0375,270.0,bottom
R13,72.5,-17.0,270.0,bottom
R14,69.5,-17.0375,270.0,bottom
R2,39.38,-20.93,0.0,top
R3,34.5,-20.0,0.0,top
R4,72.0,-29.4625,90.0,top
R5,49.0,-49.2,90.0,top
R6,29.0,-48.9625,270.0,top
R7,30.5,-41.5,0.0,top
R8,49.0,-31.0,270.0,top
R9,56.4625,-38.0,0.0,top
SW1,41.315,-48.75,0.0,top
SW2,20.815,-48.75,0.0,top
U1,54.5,-21.35,270.0,top
U2,28.0,-26.0,270.0,top
U3,41.405,-27.4467,90.0,top
U4,30.5,-28.2875,0.0,top
Y1,30.56,-36.0,0.0,top
